open_time,open,high,low,close,volume
2025-08-30 08:10:00+00:00,3.3423,3.3423,3.3423,3.3423,14.8
2025-08-30 08:15:00+00:00,3.3423,3.3423,3.3423,3.3423,0.0
2025-08-30 08:20:00+00:00,3.3423,3.3423,3.3423,3.3423,0.0
2025-08-30 08:25:00+00:00,3.3423,3.3423,3.3423,3.3423,0.0
2025-08-30 08:30:00+00:00,3.3371,3.3396,3.3371,3.3396,11491.2
2025-08-30 08:35:00+00:00,3.3326,3.3386,3.3326,3.3369,125271.1
2025-08-30 08:40:00+00:00,3.3369,3.3385,3.3339,3.336,20175.5
2025-08-30 08:45:00+00:00,3.3359,3.3359,3.33,3.3338,160592.4
2025-08-30 08:50:00+00:00,3.3338,3.3386,3.3335,3.3367,43112.8
2025-08-30 08:55:00+00:00,3.3367,3.3386,3.3301,3.3321,66423.2
2025-08-30 09:00:00+00:00,3.3321,3.3349,3.33,3.3325,264387.0
2025-08-30 09:05:00+00:00,3.3325,3.3369,3.3307,3.3309,94086.4
2025-08-30 09:10:00+00:00,3.3309,3.3325,3.3259,3.3285,938853.0
2025-08-30 09:15:00+00:00,3.3285,3.3344,3.328,3.333,55063.5
2025-08-30 09:20:00+00:00,3.3329,3.3343,3.3282,3.3302,40355.0
2025-08-30 09:25:00+00:00,3.3301,3.3335,3.3294,3.3299,26955.0
2025-08-30 09:30:00+00:00,3.3298,3.33,3.3226,3.3232,74972.6
2025-08-30 09:35:00+00:00,3.323,3.3296,3.323,3.3245,56101.9
2025-08-30 09:40:00+00:00,3.3244,3.3244,3.3132,3.321,221843.2
2025-08-30 09:45:00+00:00,3.321,3.3297,3.3185,3.3294,48831.3
2025-08-30 09:50:00+00:00,3.3293,3.3342,3.3266,3.3288,57016.3
2025-08-30 09:55:00+00:00,3.3288,3.3295,3.3257,3.3282,49453.7
2025-08-30 10:00:00+00:00,3.3282,3.3306,3.325,3.3251,115881.1
2025-08-30 10:05:00+00:00,3.325,3.3343,3.324,3.3328,91436.7
2025-08-30 10:10:00+00:00,3.3328,3.3331,3.3245,3.3246,49598.4
2025-08-30 10:15:00+00:00,3.3246,3.3327,3.3245,3.3288,45746.0
2025-08-30 10:20:00+00:00,3.3289,3.3292,3.325,3.3269,37815.7
2025-08-30 10:25:00+00:00,3.3269,3.3278,3.3226,3.3259,13564.7
2025-08-30 10:30:00+00:00,3.326,3.3265,3.3153,3.3153,38424.2
2025-08-30 10:35:00+00:00,3.3153,3.3182,3.3131,3.3179,62357.5
2025-08-30 10:40:00+00:00,3.3178,3.3182,3.3139,3.317,20081.7
2025-08-30 10:45:00+00:00,3.3169,3.3209,3.3151,3.3201,38815.4
2025-08-30 10:50:00+00:00,3.3205,3.3206,3.316,3.3167,20093.1
2025-08-30 10:55:00+00:00,3.3168,3.3227,3.3166,3.3216,18488.1
2025-08-30 11:00:00+00:00,3.3217,3.3222,3.3152,3.3152,14748.1
2025-08-30 11:05:00+00:00,3.3151,3.3244,3.315,3.3244,37334.7
2025-08-30 11:10:00+00:00,3.3244,3.3277,3.3234,3.3251,23973.8
2025-08-30 11:15:00+00:00,3.3252,3.3252,3.3193,3.3204,26766.0
2025-08-30 11:20:00+00:00,3.3204,3.324,3.3194,3.324,13376.7
2025-08-30 11:25:00+00:00,3.3239,3.3272,3.3233,3.3247,31456.8
2025-08-30 11:30:00+00:00,3.3247,3.3265,3.3176,3.3179,30450.5
2025-08-30 11:35:00+00:00,3.3179,3.3179,3.3127,3.3156,53379.7
2025-08-30 11:40:00+00:00,3.3157,3.3184,3.3154,3.3156,33747.2
2025-08-30 11:45:00+00:00,3.3157,3.3239,3.3151,3.3228,29844.0
2025-08-30 11:50:00+00:00,3.3226,3.3255,3.3207,3.3207,90234.2
2025-08-30 11:55:00+00:00,3.3206,3.3224,3.3189,3.3196,50062.9
2025-08-30 12:00:00+00:00,3.3196,3.3206,3.3166,3.3166,27407.4
2025-08-30 12:05:00+00:00,3.3168,3.3222,3.3144,3.32,29720.4
2025-08-30 12:10:00+00:00,3.32,3.3206,3.3158,3.3175,30177.2
2025-08-30 12:15:00+00:00,3.3175,3.3182,3.3095,3.3116,43626.2
2025-08-30 12:20:00+00:00,3.3116,3.3165,3.3098,3.3098,154436.5
2025-08-30 12:25:00+00:00,3.3098,3.3126,3.3028,3.3084,307770.0
2025-08-30 12:30:00+00:00,3.3085,3.3101,3.2936,3.2944,406820.2
2025-08-30 12:35:00+00:00,3.2944,3.2968,3.281,3.2841,268522.8
2025-08-30 12:40:00+00:00,3.2841,3.2852,3.2764,3.2837,207118.4
2025-08-30 12:45:00+00:00,3.2838,3.2919,3.2823,3.2919,112922.3
2025-08-30 12:50:00+00:00,3.2916,3.2929,3.2868,3.2916,64886.8
2025-08-30 12:55:00+00:00,3.2916,3.2945,3.2864,3.2906,48822.4
2025-08-30 13:00:00+00:00,3.2906,3.2916,3.2823,3.2823,40487.0
2025-08-30 13:05:00+00:00,3.2824,3.2837,3.262,3.264,810584.5
2025-08-30 13:10:00+00:00,3.2639,3.2645,3.2525,3.2552,225312.5
2025-08-30 13:15:00+00:00,3.2553,3.264,3.2514,3.2628,114903.0
2025-08-30 13:20:00+00:00,3.2627,3.2684,3.255,3.2622,170130.2
2025-08-30 13:25:00+00:00,3.2622,3.2677,3.2612,3.2676,35285.6
2025-08-30 13:30:00+00:00,3.2676,3.2766,3.2676,3.2724,58160.8
