open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volume,taker_quote_volume
2024-12-20 00:00:00+00:00,97461.86,97715.29,97459.98,97592.0,137.0815,2024-12-20 00:04:59.999000+00:00,13376651.2612913,12947.0,64.74906,6318300.7152135
2024-12-20 00:05:00+00:00,97592.0,97814.09,97404.01,97516.0,131.93067,2024-12-20 00:09:59.999000+00:00,12874688.1423799,14274.0,61.42006,5993533.0683445
2024-12-20 00:10:00+00:00,97516.0,97696.0,97385.53,97488.16,160.59433,2024-12-20 00:14:59.999000+00:00,15667078.4577139,19957.0,78.45611,7653348.1446997
2024-12-20 00:15:00+00:00,97488.15,97527.97,97069.67,97214.46,230.21475,2024-12-20 00:19:59.999000+00:00,22383379.1749722,26735.0,89.48572,8699632.1981664
2024-12-20 00:20:00+00:00,97215.99,97300.0,97000.41,97200.0,233.58494,2024-12-20 00:24:59.999000+00:00,22683553.6967733,33814.0,108.5586,10541424.986378
2024-12-20 00:25:00+00:00,97200.0,97349.24,96807.79,96828.79,290.53473,2024-12-20 00:29:59.999000+00:00,28211247.1253522,40681.0,119.08376,11561720.4119081
2024-12-20 00:30:00+00:00,96828.78,97088.35,96648.78,97049.86,390.6409,2024-12-20 00:34:59.999000+00:00,37812504.5951385,36633.0,147.21739,14253474.0421061
2024-12-20 00:35:00+00:00,97049.87,97529.41,97049.87,97383.66,324.07165,2024-12-20 00:39:59.999000+00:00,31525591.3073124,38769.0,204.74248,19914773.8820005
2024-12-20 00:40:00+00:00,97383.67,97580.09,97305.54,97550.16,144.22453,2024-12-20 00:44:59.999000+00:00,14056210.9527961,23640.0,79.05982,7704620.5061645
2024-12-20 00:45:00+00:00,97550.16,97653.17,97238.71,97242.79,142.59104,2024-12-20 00:49:59.999000+00:00,13893313.0077951,28154.0,54.7391,5333398.3634263
2024-12-20 00:50:00+00:00,97242.8,97397.99,97200.0,97297.41,195.34665,2024-12-20 00:54:59.999000+00:00,19006510.8471819,29542.0,125.46221,12206149.7663785
2024-12-20 00:55:00+00:00,97297.41,97339.05,97116.0,97248.22,145.51593,2024-12-20 00:59:59.999000+00:00,14142655.9904406,27346.0,89.08788,8657776.0135815
2024-12-20 01:00:00+00:00,97248.22,97542.68,97123.09,97502.1,114.7504,2024-12-20 01:04:59.999000+00:00,11167358.9265329,33890.0,55.07409,5359760.5173813
2024-12-20 01:05:00+00:00,97502.1,97502.1,97068.85,97068.85,118.89004,2024-12-20 01:09:59.999000+00:00,11563693.5835979,32189.0,49.26606,4792368.0496319
2024-12-20 01:10:00+00:00,97068.86,97158.6,96913.96,96937.59,157.81481,2024-12-20 01:14:59.999000+00:00,15309685.3491027,36688.0,77.1454,7483201.9933304
2024-12-20 01:15:00+00:00,96937.6,96978.52,96678.83,96740.87,244.31053,2024-12-20 01:19:59.999000+00:00,23646100.6829897,39027.0,83.24204,8056416.4901668
2024-12-20 01:20:00+00:00,96740.87,97333.0,96722.4,97215.41,153.99414,2024-12-20 01:24:59.999000+00:00,14955122.6547637,31653.0,84.2858,8183527.0993787
2024-12-20 01:25:00+00:00,97215.42,97272.71,97009.73,97061.95,118.57172,2024-12-20 01:29:59.999000+00:00,11515295.3698297,26989.0,54.18071,5261706.2564767
2024-12-20 01:30:00+00:00,97061.95,97440.45,97021.89,97439.57,179.54723,2024-12-20 01:34:59.999000+00:00,17465978.8945945,27729.0,101.3196,9857301.7725897
2024-12-20 01:35:00+00:00,97439.56,97439.56,96679.99,96698.99,167.76332,2024-12-20 01:39:59.999000+00:00,16272675.6210966,30012.0,56.83427,5513448.4561142
2024-12-20 01:40:00+00:00,96699.0,96748.0,96279.72,96487.97,336.78312,2024-12-20 01:44:59.999000+00:00,32506221.4164465,36845.0,137.69367,13290525.9977219
2024-12-20 01:45:00+00:00,96487.97,97041.05,96485.73,96980.71,198.9742,2024-12-20 01:49:59.999000+00:00,19272553.9250287,30609.0,112.75907,10920422.1697897
2024-12-20 01:50:00+00:00,96980.72,97049.41,96301.02,96341.01,323.45256,2024-12-20 01:54:59.999000+00:00,31239757.7689315,35010.0,100.21223,9678582.6496795
2024-12-20 01:55:00+00:00,96341.01,96444.03,96159.84,96319.99,397.57382,2024-12-20 01:59:59.999000+00:00,38269932.1705586,37674.0,138.92098,13372999.5540102
2024-12-20 02:00:00+00:00,96319.99,96379.08,96000.0,96346.98,341.75554,2024-12-20 02:04:59.999000+00:00,32858122.3349604,42865.0,163.10761,15684290.7690412
