open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volume,taker_quote_volume
2024-12-01 00:00:00+00:00,3703.59,3715.47,3703.5,3713.32,1321.842,2024-12-01 00:04:59.999000+00:00,4903501.283286,12651,730.1675,2708564.798737
2024-12-01 00:05:00+00:00,3713.33,3715.0,3710.0,3714.99,1149.49,2024-12-01 00:09:59.999000+00:00,4266910.300147,11919,719.9415,2672455.132102
2024-12-01 00:10:00+00:00,3715.0,3726.98,3714.26,3726.96,1850.0489,2024-12-01 00:14:59.999000+00:00,6883418.384034,12567,968.0482,3601617.565988
2024-12-01 00:15:00+00:00,3726.96,3726.96,3715.2,3726.58,1706.5593,2024-12-01 00:19:59.999000+00:00,6351477.649653,18192,882.3978,3284101.933296
2024-12-01 00:20:00+00:00,3726.59,3726.59,3717.73,3723.5,1245.123,2024-12-01 00:24:59.999000+00:00,4633805.938035,13933,541.58,2015397.612894
2024-12-01 00:25:00+00:00,3723.49,3727.42,3721.24,3721.82,1285.6306,2024-12-01 00:29:59.999000+00:00,4788733.490933,15729,751.0118,2797518.399993
2024-12-01 00:30:00+00:00,3721.82,3724.2,3717.23,3722.01,916.3229,2024-12-01 00:34:59.999000+00:00,3410373.484821,13330,396.4874,1475489.881271
2024-12-01 00:35:00+00:00,3722.02,3722.87,3710.5,3713.59,1474.524,2024-12-01 00:39:59.999000+00:00,5479029.496026,16215,673.772,2503511.647946
2024-12-01 00:40:00+00:00,3713.59,3714.38,3695.4,3695.88,3764.2835,2024-12-01 00:44:59.999000+00:00,13939011.751092,26848,1343.6676,4973656.805363
2024-12-01 00:45:00+00:00,3695.87,3705.0,3690.36,3701.6,3160.1256,2024-12-01 00:49:59.999000+00:00,11685163.814446,34699,1666.0169,6160043.273434
2024-12-01 00:50:00+00:00,3701.6,3701.6,3691.34,3698.39,1834.7361,2024-12-01 00:54:59.999000+00:00,6783221.019495,26167,912.2987,3372771.372139
2024-12-01 00:55:00+00:00,3698.35,3699.0,3687.72,3688.54,2496.6736,2024-12-01 00:59:59.999000+00:00,9219088.271863,20055,743.8941,2747084.14754
2024-12-01 01:00:00+00:00,3688.55,3694.49,3680.61,3683.5,2908.7955,2024-12-01 01:04:59.999000+00:00,10728786.616439,31548,1289.0283,4754638.038831
2024-12-01 01:05:00+00:00,3683.5,3687.56,3676.0,3682.33,2240.6991,2024-12-01 01:09:59.999000+00:00,8250532.686944,22762,833.874,3070746.648988
2024-12-01 01:10:00+00:00,3682.33,3687.0,3677.6,3681.21,1809.5942,2024-12-01 01:14:59.999000+00:00,6664340.468687,23505,724.9896,2670007.621149
2024-12-01 01:15:00+00:00,3681.2,3682.0,3675.03,3678.99,2178.0174,2024-12-01 01:19:59.999000+00:00,8009855.146278,19063,1138.1655,4185664.81662
2024-12-01 01:20:00+00:00,3678.99,3688.37,3677.19,3686.32,1684.664,2024-12-01 01:24:59.999000+00:00,6206197.796871,13175,1056.7632,3893170.71507
2024-12-01 01:25:00+00:00,3686.32,3693.33,3686.31,3691.39,1229.5854,2024-12-01 01:29:59.999000+00:00,4538081.98278,8715,783.9816,2893264.811521
2024-12-01 01:30:00+00:00,3691.4,3697.59,3690.02,3696.83,766.6832,2024-12-01 01:34:59.999000+00:00,2831947.38596,12364,495.3191,1829582.729452
2024-12-01 01:35:00+00:00,3696.83,3701.43,3696.0,3700.2,960.6859,2024-12-01 01:39:59.999000+00:00,3553454.444227,9332,613.3949,2268795.510653
2024-12-01 01:40:00+00:00,3700.2,3708.0,3698.15,3704.67,1553.4959,2024-12-01 01:44:59.999000+00:00,5752483.646556,12036,1033.4691,3826579.802234
2024-12-01 01:45:00+00:00,3704.65,3732.34,3702.63,3727.44,8809.947,2024-12-01 01:49:59.999000+00:00,32809364.090007,50194,5717.3892,21290070.533305
2024-12-01 01:50:00+00:00,3727.44,3730.38,3715.01,3718.94,2501.2974,2024-12-01 01:54:59.999000+00:00,9314805.599733,35920,1231.8742,4587296.737362
2024-12-01 01:55:00+00:00,3718.94,3720.34,3705.26,3709.59,2290.2619,2024-12-01 01:59:59.999000+00:00,8499155.966775,26411,919.6305,3412058.596882
2024-12-01 02:00:00+00:00,3709.59,3712.41,3703.6,3706.05,1714.9311,2024-12-01 02:04:59.999000+00:00,6357894.409769,23836,836.2291,3100344.898484
2024-12-01 02:05:00+00:00,3706.05,3706.77,3696.17,3703.03,1762.6254,2024-12-01 02:09:59.999000+00:00,6525966.374105,21356,815.9204,3020622.159052
2024-12-01 02:10:00+00:00,3703.02,3713.53,3694.06,3698.18,4662.8038,2024-12-01 02:14:59.999000+00:00,17270811.401534,44433,2158.4231,7995359.018434
2024-12-01 02:15:00+00:00,3698.18,3701.89,3689.49,3701.24,2181.9135,2024-12-01 02:19:59.999000+00:00,8059216.336989,24325,1126.4924,4160561.087927
2024-12-01 02:20:00+00:00,3701.24,3701.61,3688.89,3689.81,1225.138,2024-12-01 02:24:59.999000+00:00,4527003.300376,21181,398.2203,1471174.329642
2024-12-01 02:25:00+00:00,3689.82,3696.87,3689.81,3691.0,860.2521,2024-12-01 02:29:59.999000+00:00,3176756.739308,15414,381.2897,1408041.246338
2024-12-01 02:30:00+00:00,3691.0,3691.01,3676.47,3677.29,2839.0511,2024-12-01 02:34:59.999000+00:00,10451473.413808,21846,889.0824,3273155.955954
2024-12-01 02:35:00+00:00,3677.3,3681.51,3668.06,3671.44,3546.318,2024-12-01 02:39:59.999000+00:00,13027204.713847,30988,1289.764,4738486.923009
2024-12-01 02:40:00+00:00,3671.44,3675.23,3667.02,3667.39,2532.8438,2024-12-01 02:44:59.999000+00:00,9296578.309141,21517,1048.6171,3848858.941879
2024-12-01 02:45:00+00:00,3667.39,3675.81,3666.43,3671.99,1826.7631,2024-12-01 02:49:59.999000+00:00,6707006.925736,18701,978.7062,3593389.688522
2024-12-01 02:50:00+00:00,3672.0,3674.43,3668.73,3670.15,1558.8735,2024-12-01 02:54:59.999000+00:00,5724001.480757,16083,816.5848,2998463.259416
2024-12-01 02:55:00+00:00,3670.14,3670.17,3659.2,3664.01,2628.9851,2024-12-01 02:59:59.999000+00:00,9631417.570169,19074,1077.5256,3947602.928525
2024-12-01 03:00:00+00:00,3664.02,3670.46,3663.5,3669.27,1243.0116,2024-12-01 03:04:59.999000+00:00,4557936.41612,12850,589.7436,2162568.630207
2024-12-01 03:05:00+00:00,3669.26,3675.62,3667.66,3674.51,1117.0523,2024-12-01 03:09:59.999000+00:00,4102809.987899,9276,704.3016,2586811.468306
2024-12-01 03:10:00+00:00,3674.5,3685.41,3674.5,3684.23,1147.5463,2024-12-01 03:14:59.999000+00:00,4224090.59897,10366,705.0354,2594671.268597
2024-12-01 03:15:00+00:00,3684.24,3686.59,3680.62,3684.6,1163.9209,2024-12-01 03:19:59.999000+00:00,4288531.595741,13633,672.8555,2479274.254593
2024-12-01 03:20:00+00:00,3684.6,3686.5,3678.5,3678.51,755.2202,2024-12-01 03:24:59.999000+00:00,2780786.440885,10820,321.394,1183335.94507
2024-12-01 03:25:00+00:00,3678.5,3679.0,3671.0,3675.84,669.6482,2024-12-01 03:29:59.999000+00:00,2460548.519814,10222,221.643,814470.534049
2024-12-01 03:30:00+00:00,3675.85,3680.99,3675.16,3679.33,903.9813,2024-12-01 03:34:59.999000+00:00,3325183.955784,7751,662.7385,2437698.080345
2024-12-01 03:35:00+00:00,3679.33,3686.36,3678.83,3686.36,1162.2474,2024-12-01 03:39:59.999000+00:00,4281635.55809,10491,818.6846,3015947.074566
2024-12-01 03:40:00+00:00,3686.37,3687.07,3685.01,3685.32,392.4096,2024-12-01 03:44:59.999000+00:00,1446394.635853,5919,180.1593,664022.895907
2024-12-01 03:45:00+00:00,3685.32,3704.07,3684.84,3702.63,1801.6115,2024-12-01 03:49:59.999000+00:00,6658626.405181,19544,1122.9485,4150120.094007
2024-12-01 03:50:00+00:00,3702.63,3712.55,3702.63,3708.13,2977.7413,2024-12-01 03:54:59.999000+00:00,11043378.079572,26350,1902.0578,7054210.655452
2024-12-01 03:55:00+00:00,3708.13,3708.99,3704.2,3707.0,965.6202,2024-12-01 03:59:59.999000+00:00,3579122.725774,10880,626.6987,2322823.774641
2024-12-01 04:00:00+00:00,3707.0,3707.63,3700.01,3704.26,1357.2577,2024-12-01 04:04:59.999000+00:00,5027490.043393,15534,570.2674,2112236.511595
2024-12-01 04:05:00+00:00,3704.24,3705.2,3701.64,3705.09,874.8219,2024-12-01 04:09:59.999000+00:00,3240175.308223,9823,448.732,1661995.923029
2024-12-01 04:10:00+00:00,3705.09,3705.09,3695.21,3697.68,1351.227,2024-12-01 04:14:59.999000+00:00,4999917.029683,13308,401.834,1487013.220783
2024-12-01 04:15:00+00:00,3697.68,3699.6,3691.75,3693.04,1355.6065,2024-12-01 04:19:59.999000+00:00,5009457.079178,12998,517.0491,1910401.355573
2024-12-01 04:20:00+00:00,3693.06,3697.5,3688.67,3695.51,910.3971,2024-12-01 04:24:59.999000+00:00,3362194.225794,13799,448.8917,1657850.802347
2024-12-01 04:25:00+00:00,3695.51,3701.6,3694.73,3697.49,799.874,2024-12-01 04:29:59.999000+00:00,2958000.651287,10322,557.2119,2060484.926461
2024-12-01 04:30:00+00:00,3697.48,3699.41,3693.0,3694.25,499.6184,2024-12-01 04:34:59.999000+00:00,1846861.200114,10032,280.9338,1038567.748198
2024-12-01 04:35:00+00:00,3694.26,3695.0,3688.2,3690.39,1623.9806,2024-12-01 04:39:59.999000+00:00,5994226.207057,9867,278.6666,1028731.190815
2024-12-01 04:40:00+00:00,3690.39,3697.49,3690.38,3693.93,774.4155,2024-12-01 04:44:59.999000+00:00,2861275.247118,10220,361.025,1333577.027761
