open_time,open,high,low,close,volume
2025-08-30 08:35:00+00:00,0.2031,0.2035,0.2024,0.2031,1276515.3
2025-08-30 08:40:00+00:00,0.2031,0.2042,0.2021,0.2022,835672.8
2025-08-30 08:45:00+00:00,0.2022,0.2022,0.2007,0.2014,939872.1
2025-08-30 08:50:00+00:00,0.2014,0.2017,0.2007,0.2013,643044.5
2025-08-30 08:55:00+00:00,0.2012,0.2012,0.1973,0.1997,11249933.0
2025-08-30 09:00:00+00:00,0.1998,0.2006,0.1988,0.2004,880199.7
2025-08-30 09:05:00+00:00,0.2003,0.202,0.2003,0.2016,1702603.6
2025-08-30 09:10:00+00:00,0.2017,0.2019,0.2006,0.2009,823504.7
2025-08-30 09:15:00+00:00,0.2009,0.2062,0.2001,0.2053,7385553.1
2025-08-30 09:20:00+00:00,0.2053,0.2082,0.2044,0.2052,4142384.5
2025-08-30 09:25:00+00:00,0.2051,0.2058,0.2042,0.2048,2549309.9
2025-08-30 09:30:00+00:00,0.2048,0.2073,0.2046,0.2062,2521059.1
2025-08-30 09:35:00+00:00,0.206,0.2083,0.206,0.2068,2509633.9
2025-08-30 09:40:00+00:00,0.2067,0.2072,0.2045,0.2055,4182205.8
2025-08-30 09:45:00+00:00,0.2054,0.2057,0.2033,0.2043,2530575.6
2025-08-30 09:50:00+00:00,0.2043,0.2043,0.2017,0.2024,5579890.9
2025-08-30 09:55:00+00:00,0.2023,0.2023,0.2011,0.2016,1796519.1
2025-08-30 10:00:00+00:00,0.2017,0.2027,0.2005,0.2007,2949542.3
2025-08-30 10:05:00+00:00,0.2007,0.2015,0.1989,0.2013,6712334.0
2025-08-30 10:10:00+00:00,0.2013,0.2018,0.2011,0.2015,711606.4
2025-08-30 10:15:00+00:00,0.2015,0.2024,0.2011,0.2021,1014523.2
2025-08-30 10:20:00+00:00,0.2021,0.2021,0.199,0.1993,2593031.1
2025-08-30 10:25:00+00:00,0.1992,0.2,0.1982,0.1994,1804632.6
2025-08-30 10:30:00+00:00,0.1994,0.1997,0.1966,0.1967,1752585.9
2025-08-30 10:35:00+00:00,0.1965,0.1965,0.1935,0.1954,5011597.1
2025-08-30 10:40:00+00:00,0.1953,0.1967,0.1944,0.1945,3662220.6
2025-08-30 10:45:00+00:00,0.1945,0.1967,0.1943,0.1955,1504191.9
2025-08-30 10:50:00+00:00,0.1954,0.1964,0.1949,0.196,1081430.0
2025-08-30 10:55:00+00:00,0.1961,0.1971,0.1958,0.1967,822194.3
2025-08-30 11:00:00+00:00,0.1967,0.1971,0.1954,0.1961,707133.2
2025-08-30 11:05:00+00:00,0.1961,0.1969,0.1956,0.1965,636766.9
2025-08-30 11:10:00+00:00,0.1964,0.1965,0.1961,0.1963,420226.8
2025-08-30 11:15:00+00:00,0.1962,0.1962,0.1945,0.195,1607040.3
2025-08-30 11:20:00+00:00,0.195,0.1965,0.195,0.1962,982569.8
2025-08-30 11:25:00+00:00,0.1962,0.1968,0.1956,0.196,561621.0
2025-08-30 11:30:00+00:00,0.196,0.1963,0.1947,0.1947,617686.5
2025-08-30 11:35:00+00:00,0.1948,0.1952,0.1943,0.1952,866911.0
2025-08-30 11:40:00+00:00,0.1953,0.1961,0.195,0.196,641250.1
2025-08-30 11:45:00+00:00,0.196,0.197,0.1959,0.1968,796323.5
2025-08-30 11:50:00+00:00,0.1968,0.198,0.1963,0.1964,1703813.0
2025-08-30 11:55:00+00:00,0.1964,0.1967,0.1951,0.1959,1222772.3
2025-08-30 12:00:00+00:00,0.1959,0.1959,0.1923,0.1938,2541409.7
2025-08-30 12:05:00+00:00,0.1938,0.1956,0.1937,0.1952,844359.2
2025-08-30 12:10:00+00:00,0.1953,0.1956,0.1941,0.1941,663066.2
2025-08-30 12:15:00+00:00,0.194,0.1941,0.1931,0.1933,1477395.2
2025-08-30 12:20:00+00:00,0.1933,0.1945,0.1929,0.1944,1363528.2
2025-08-30 12:25:00+00:00,0.1944,0.1945,0.1937,0.1943,506233.1
2025-08-30 12:30:00+00:00,0.1943,0.1944,0.193,0.1932,1070652.9
2025-08-30 12:35:00+00:00,0.1932,0.1937,0.1917,0.1928,1694063.2
2025-08-30 12:40:00+00:00,0.1928,0.1931,0.1914,0.1916,1545435.8
2025-08-30 12:45:00+00:00,0.1916,0.193,0.1915,0.1927,986458.7
2025-08-30 12:50:00+00:00,0.1927,0.1934,0.1924,0.1933,1383008.8
2025-08-30 12:55:00+00:00,0.1933,0.1942,0.1924,0.1939,1635690.7
2025-08-30 13:00:00+00:00,0.1939,0.1949,0.1937,0.1941,1099487.8
2025-08-30 13:05:00+00:00,0.1942,0.1942,0.1921,0.1925,1415580.4
2025-08-30 13:10:00+00:00,0.1924,0.1925,0.1909,0.192,1331864.4
2025-08-30 13:15:00+00:00,0.192,0.1924,0.1912,0.1916,958128.0
2025-08-30 13:20:00+00:00,0.1917,0.1922,0.1908,0.1922,1178429.7
2025-08-30 13:25:00+00:00,0.1922,0.1935,0.1918,0.1934,1199992.0
2025-08-30 13:30:00+00:00,0.1934,0.1949,0.1934,0.1944,1421989.5
