open_time,open,high,low,close,volume
2025-08-30 08:10:00+00:00,204.98,205.17,204.75,204.97,9394.562
2025-08-30 08:15:00+00:00,205.08,205.17,204.68,204.74,5234.025
2025-08-30 08:20:00+00:00,204.72,204.95,204.71,204.9,4340.065
2025-08-30 08:25:00+00:00,204.91,205.21,204.82,205.13,4531.894
2025-08-30 08:30:00+00:00,205.12,205.54,204.86,204.86,5428.551
2025-08-30 08:35:00+00:00,204.85,205.15,204.73,205.07,5635.771
2025-08-30 08:40:00+00:00,205.08,205.14,204.65,204.79,9553.216
2025-08-30 08:45:00+00:00,204.78,204.8,203.51,203.78,27441.065
2025-08-30 08:50:00+00:00,203.78,204.04,203.59,203.79,9869.714
2025-08-30 08:55:00+00:00,203.79,203.86,202.61,203.02,26381.488
2025-08-30 09:00:00+00:00,203.02,203.36,202.72,202.87,22594.391
2025-08-30 09:05:00+00:00,202.86,203.19,202.71,202.78,11070.472
2025-08-30 09:10:00+00:00,202.78,203.03,202.3,202.41,27562.041
2025-08-30 09:15:00+00:00,202.41,203.0,202.41,202.79,11521.978
2025-08-30 09:20:00+00:00,202.78,202.95,202.5,202.88,10150.745
2025-08-30 09:25:00+00:00,202.88,202.95,202.58,202.59,5905.92
2025-08-30 09:30:00+00:00,202.59,202.63,201.65,201.83,44841.652
2025-08-30 09:35:00+00:00,201.82,202.27,201.69,202.27,15250.072
2025-08-30 09:40:00+00:00,202.27,202.27,201.76,201.94,8731.734
2025-08-30 09:45:00+00:00,201.94,202.62,201.68,202.61,9333.367
2025-08-30 09:50:00+00:00,202.62,202.84,202.46,202.5,10976.268
2025-08-30 09:55:00+00:00,202.51,202.58,202.32,202.42,3603.468
2025-08-30 10:00:00+00:00,202.43,202.65,202.24,202.27,8488.089
2025-08-30 10:05:00+00:00,202.26,203.26,202.22,203.2,38588.355
2025-08-30 10:10:00+00:00,203.19,203.2,202.78,202.79,11474.685
2025-08-30 10:15:00+00:00,202.79,203.31,202.74,203.09,18672.118
2025-08-30 10:20:00+00:00,203.08,203.09,202.71,202.94,6016.515
2025-08-30 10:25:00+00:00,202.94,202.95,202.67,202.7,6340.597
2025-08-30 10:30:00+00:00,202.69,202.86,201.92,202.03,20545.291
2025-08-30 10:35:00+00:00,202.04,202.23,201.78,202.21,14705.253
2025-08-30 10:40:00+00:00,202.21,202.4,201.98,202.27,4501.692
2025-08-30 10:45:00+00:00,202.27,202.53,202.07,202.52,5359.902
2025-08-30 10:50:00+00:00,202.52,202.56,202.2,202.3,3522.369
2025-08-30 10:55:00+00:00,202.31,202.71,202.28,202.71,3563.81
2025-08-30 11:00:00+00:00,202.7,202.72,202.22,202.32,11603.071
2025-08-30 11:05:00+00:00,202.33,202.8,202.33,202.79,3558.053
2025-08-30 11:10:00+00:00,202.78,202.9,202.66,202.81,3713.619
2025-08-30 11:15:00+00:00,202.81,202.81,202.48,202.69,5170.267
2025-08-30 11:20:00+00:00,202.7,202.74,202.25,202.43,12555.577
2025-08-30 11:25:00+00:00,202.44,202.57,202.4,202.4,3104.425
2025-08-30 11:30:00+00:00,202.4,202.49,202.04,202.13,6324.745
2025-08-30 11:35:00+00:00,202.13,202.2,201.77,202.08,11952.002
2025-08-30 11:40:00+00:00,202.09,202.31,202.02,202.31,2765.891
2025-08-30 11:45:00+00:00,202.31,202.8,202.26,202.71,2950.032
2025-08-30 11:50:00+00:00,202.7,202.86,202.6,202.63,3240.369
2025-08-30 11:55:00+00:00,202.63,202.79,202.53,202.64,3146.314
2025-08-30 12:00:00+00:00,202.64,202.67,202.17,202.21,11507.263
2025-08-30 12:05:00+00:00,202.22,202.56,202.05,202.31,3515.182
2025-08-30 12:10:00+00:00,202.3,202.32,202.03,202.25,4687.837
2025-08-30 12:15:00+00:00,202.25,202.25,201.61,201.76,9683.084
2025-08-30 12:20:00+00:00,201.77,202.1,201.75,201.88,6507.849
2025-08-30 12:25:00+00:00,201.87,201.87,200.89,201.07,43092.108
2025-08-30 12:30:00+00:00,201.08,201.15,200.11,200.35,46686.037
2025-08-30 12:35:00+00:00,200.35,200.6,199.26,199.75,127755.436
2025-08-30 12:40:00+00:00,199.75,200.15,199.56,200.1,36611.743
2025-08-30 12:45:00+00:00,200.1,200.58,200.04,200.47,19890.423
2025-08-30 12:50:00+00:00,200.46,200.81,200.34,200.5,13768.077
2025-08-30 12:55:00+00:00,200.5,200.81,200.28,200.6,21313.286
2025-08-30 13:00:00+00:00,200.61,200.65,199.96,199.98,26239.057
2025-08-30 13:05:00+00:00,199.99,200.06,198.17,198.64,109500.879
2025-08-30 13:10:00+00:00,198.64,198.73,197.52,198.05,67736.814
2025-08-30 13:15:00+00:00,198.06,198.56,197.61,198.35,20882.826
2025-08-30 13:20:00+00:00,198.35,198.73,198.01,198.54,16173.431
2025-08-30 13:25:00+00:00,198.53,198.74,198.34,198.74,16067.867
2025-08-30 13:30:00+00:00,198.75,199.05,198.69,198.9,8871.068
